Name,Disc.Y,Disc.M,Disc.D,r_Disc.D,RAh,RAm,RAs,DE-,DEd,DEm,DEs,f_DEs,Obs,tFirst,tLast,tNext,z,r_z,Dist,e_Dist,r_Dist,VExt
SDSS-II SN 13177,2006,09,12,2007SDSS6.C...0000:,01,26,25.752,+,00,33,52.934,,6,-716,385,386,0.31869,2016SDSSD.C...0000:,1360,95,2016SDSSD.C...0000:,0.081
SDSS-II SN 13323,2006,09,11,2007SDSS6.C...0000:,21,32,12.304,-,00,08,04.7,,572,-1117,1809,318,0.2323,2011ApJ...738..162S,990,82,2011ApJ...738..162S,0.106
SDSS-II SN 13333,2006,09,11,2007SDSS6.C...0000:,21,14,35.76,+,00,16,41.459,,10,-758,1035,736,0.214,2011ApJ...738..162S,912,64,2011ApJ...738..162S,0.28300000000000003
SDSS-II SN 13378,2006,09,11,2007SDSS6.C...0000:,02,26,10.224,+,01,08,47.184,,8,-1022,773,773,0.309,2005ApJS..158..161H,1320,92,2005ApJS..158..161H,0.087
SDSS-II SN 13393,2006,09,15,2007SDSS6.C...0000:,22,52,57.12,+,00,37,03,,14,-764,754,23,0.27,2011ApJ...738..162S,1151,81,2011ApJ...738..162S,0.225
SDSS-II SN 13411,2006,08,28,2007SDSS6.C...0000:,21,00,45.6,+,00,11,30.17,,14,-1099,1054,736,0.163,2011ApJ...740...92G,694,49,2011ApJ...740...92G,0.223
SDSS-II SN 1342,2005,09,09,2010ApJ...713.1026D,23,06,06.605,+,00,07,01.24,,7,-686,1126,1127,0.283,2010ApJ...713.1026D,1207,85,2010ApJ...713.1026D,0.115
SDSS-II SN 13452,2006,09,15,2007SDSS6.C...0000:,00,07,40.994,-,00,21,04.54,,12,-1060,744,382,0.494,2011ApJ...738..162S,2111,148,2011ApJ...738..162S,0.128
SDSS-II SN 13458,2006,09,16,2007SDSS6.C...0000:,01,05,51.198,-,00,15,01.69,a,14,-1075,407,386,0.3191,2011ApJ...738..162S,1362,95,2011ApJ...738..162S,0.10099999999999999
SDSS-II SN 13465,2006,09,15,2007SDSS6.C...0000:,23,15,31.92,+,00,00,58.2,,18,-1117,1106,18,0.267,2011ApJ...738..162S,1194,84,2005ApJS..158..161H,0.11
SDSS-II SN 13476,2006,09,15,2010ApJ...713.1026D,23,44,04.008,-,00,47,27.44,,10,0,714,12,0.257,2011ApJ...738..162S,1095,77,2011ApJ...738..162S,0.08199999999999999
SDSS-II SN 13507,2006,09,12,2007SDSS6.C...0000:,01,41,49.584,-,00,47,44.412,,12,-1062,765,378,0.318,2011ApJ...738..162S,1358,95,2011ApJ...738..162S,0.079
SDSS-II SN 13520,2006,09,11,2007SDSS6.C...0000:,01,08,42.082,-,00,00,57.27,,10,-1070,1520,391,0.293,2011ApJ...738..162S,1250,88,2011ApJ...738..162S,0.09
SDSS-II SN 13529,2006,09,11,2007SDSS6.C...0000:,01,26,52.812,+,00,20,12.45,,6,-715,388,389,0.315,2011ApJ...738..162S,1345,94,2011ApJ...738..162S,0.08900000000000001
SDSS-II SN 13615,2006,09,17,2007SDSS6.C...0000:,20,45,38.99,+,01,11,12.12,,64,-797,1386,674,0.232,2010ApJ...713.1026D,989,69,2010ApJ...713.1026D,0.22399999999999998
SDSS-II SN 13646,2006,09,11,2007SDSS6.C...0000:,23,49,53.417,-,01,01,55.61,,10,-1114,403,359,0.292,2010ApJ...713.1026D,1245,87,2010ApJ...713.1026D,0.085
SDSS-II SN 13659,2006,09,11,2011ApJ...738..162S,03,06,42.624,-,01,02,28.86,,15,-1018,1178,405,0.287,2011ApJ...738..162S,1226,86,2011ApJ...738..162S,0.19
SDSS-II SN 13716,2006,09,18,2011ApJ...738..162S,20,59,48.96,+,00,29,18.539,,5,-1120,1033,1033,0.322,2011ApJ...738..162S,1375,96,2011ApJ...738..162S,0.22899999999999998
SDSS-II SN 13729,2006,09,18,2010ApJ...713.1026D,21,15,40.497,+,00,52,31,,14,-765,1035,720,0.343,2010ApJ...713.1026D,1464,103,2010ApJ...713.1026D,0.243
SDSS-II SN 13732,2006,09,18,2016SDSSD.C...0000:,21,37,04.32,+,00,54,03.726,,22,-1114,721,300,0.40223,2016SDSSD.C...0000:,1718,120,2016SDSSD.C...0000:,0.155
SDSS-II SN 13737,2006,09,15,2007SDSS6.C...0000:,22,35,42.312,+,00,57,45.67,,2,-751,1853,1853,0.329,2010ApJ...713.1026D,1404,98,2010ApJ...713.1026D,0.22
SDSS-II SN 13813,2006,09,18,2007SDSS6.C...0000:,21,13,17.008,-,00,24,17.07,,14,-2,1040,692,0.24,2010ApJ...713.1026D,1023,72,2010ApJ...713.1026D,0.17800000000000002
SDSS-II SN 13833,2006,09,11,2010ApJ...713.1026D,23,37,17.172,-,00,12,33.59,,12,-1063,374,12,0.454,2011ApJ...738..162S,1939,136,2011ApJ...738..162S,0.1
SDSS-II SN 13843,2006,09,17,2010ApJ...713.1026D,21,16,38.48,+,00,12,25.8,,15,-764,1090,723,0.433,2010ApJ...713.1026D,1850,130,2010ApJ...713.1026D,0.24600000000000002
SDSS-II SN 1385,2005,09,09,2007SDSS6.C...0000:,00,35,18.514,+,00,04,33.19,,12,-709,744,416,0.287,2011ApJ...738..162S,1224,86,2011ApJ...738..162S,0.055999999999999994
SDSS-II SN 13859,2006,09,16,2010ApJ...713.1026D,00,44,14.924,+,00,58,01.34,,14,-1077,406,357,0.324,2010ApJ...713.1026D,1366,96,2011ApJ...738..162S,0.057999999999999996
SDSS-II SN 13864,2006,09,15,2007SDSS6.C...0000:,23,14,17.784,+,00,11,27.83,,6,-1117,755,756,0.2931,2011ApJ...738..162S,1250,88,2011ApJ...738..162S,0.11199999999999999
SDSS-II SN 13867,2006,09,18,2007SDSS6.C...0000:,23,25,49.177,+,00,01,46.06,,190,-1119,1135,0,0.333,2010ApJ...713.1026D,1421,100,2010ApJ...713.1026D,0.106
SDSS-II SN 13896,2006,09,19,2010ApJ...713.1026D,00,10,51.087,-,00,04,11.42,,22,-1064,764,381,0.157,2011ApJ...738..162S,667,47,2011ApJ...738..162S,0.092
SDSS-II SN 13902,2006,09,11,2007SDSS6.C...0000:,23,15,53.411,+,00,15,08.6,,12,-1112,1110,22,0.299,2005ApJS..158..161H,1275,89,2005ApJS..158..161H,0.122
SDSS-II SN 13907,2006,10,01,2010ApJ...713.1026D,00,56,43.041,+,00,13,57.21,,12,-1090,393,359,0.1978,2011ApJ...738..162S,842,59,2011ApJ...738..162S,0.061
