file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
PSc010024-NUV.fits.gz,PSc010024,NUV,162.776625,57.57696944444445,37,2005-04-16,2008-05-11,2010-01-16,37,0,-1736.0,-614.0,
PSc010053-FUV.fits.gz,PSc010053,FUV,161.3624958333333,57.952575,11,2004-01-25,2006-01-14,2010-02-06,11,0,-2204.0,-1483.0,
PSc010053-NUV.fits.gz,PSc010053,NUV,161.3624958333333,57.952575,24,2004-01-25,2006-01-14,2010-02-06,24,0,-2204.0,-1483.0,
PSc010055-FUV.fits.gz,PSc010055,FUV,151.2624458333333,1.964927777777778,16,2006-02-03,2008-03-24,2010-02-04,16,0,-1461.0,-682.0,
PSc010055-NUV.fits.gz,PSc010055,NUV,151.2624458333333,1.964927777777778,40,2005-03-13,2011-03-21,2010-02-04,17,23,-1788.0,411.0,1.0
PSc010074-FUV.fits.gz,PSc010074,FUV,160.8723625,56.86548333333334,9,2005-03-03,2008-02-18,2010-02-07,9,0,-1802.0,-720.0,
PSc010074-NUV.fits.gz,PSc010074,NUV,160.8723625,56.86548333333334,22,2004-01-25,2008-02-18,2010-02-07,22,0,-2205.0,-720.0,
PSc010167-FUV.fits.gz,PSc010167,FUV,130.0101375,43.51382222222222,6,2007-02-17,2008-03-24,2010-02-03,6,0,-1082.0,-681.0,
PSc010167-NUV.fits.gz,PSc010167,NUV,130.0101375,43.51382222222222,7,2006-12-29,2008-03-24,2010-02-03,7,0,-1131.0,-681.0,
PSc010174-FUV.fits.gz,PSc010174,FUV,150.49975,2.146916666666667,123,2004-02-10,2008-03-25,2010-02-04,123,0,-2185.0,-681.0,
PSc010174-NUV.fits.gz,PSc010174,NUV,150.49975,2.146916666666667,184,2004-02-10,2011-03-21,2010-02-04,144,40,-2185.0,410.0,1.0
PSc010178-FUV.fits.gz,PSc010178,FUV,163.1627083333333,56.97707222222223,42,2004-03-17,2008-05-11,2010-02-03,42,0,-2148.0,-632.0,
