name,SDSS,ESSENCE,PanSTARRS,PanSTARRS2,SNLS,rochester,Nspec,OSC,manual,total
SDSS-II SN 15782,0.898,0,0,0,0,0,0,1,0,0.898
SDSS-II SN 15784,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15793,0.95,0,0,0,0,0,0,1,0,0.95
SDSS-II SN 15805,0.879,0,0,0,0,0,0,1,0,0.879
SDSS-II SN 15806,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15814,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15817,0.975,0,0,0,0,0,0,1,0,0.975
SDSS-II SN 15823,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15850,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15860,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 15865,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15866,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15892,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15903,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 15916,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 15929,-1,0,0,0,0,0,0,-1,0,-1
SDSS-II SN 15935,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15941,0.975,0,0,0,0,0,0,1,0,0.975
SDSS-II SN 15944,0.916,0,0,0,0,0,0,1,0,0.916
SDSS-II SN 15945,0.926,0,0,0,0,0,0,1,0,0.926
SDSS-II SN 15946,0.996,0,0,0,0,0,0,-1,0,0.996
SDSS-II SN 15961,0.975,0,0,0,0,0,0,1,0,0.975
SDSS-II SN 15967,0.92,0,0,0,0,0,0,1,0,0.92
SDSS-II SN 15988,0.969,0,0,0,0,0,0,1,0,0.969
SDSS-II SN 15992,0.837,0,0,0,0,0,0,1,0,0.837
SDSS-II SN 15994,-1,0,0,0,0,0,0,-1,0,-1
SDSS-II SN 16039,0.989,0,0,0,0,0,0,1,0,0.989
SDSS-II SN 16111,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16121,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16129,0.849,0,0,0,0,0,0,1,0,0.849
SDSS-II SN 16130,0.902,0,0,0,0,0,0,1,0,0.902
